order_id,weight (lbs),volume (in3)
21000,719,3785
21001,1014,6749
21002,1102,88
21003,260,100700
21004,168,20700
21005,690,1611
21006,203,4994
21007,370,130036
21008,220,33660
21009,1036,9830
21010,1296,13997
21011,262,1670
21012,536,1419
21013,1248,0
21014,220,2847
21015,220,2847
21016,220,2847
21017,425,69120
21018,40,52800
21019,475,200633
21020,900,69120
21021,110,29636
21022,441,9842
21023,265,3598
21024,1323,2812
21025,1543,33590
21026,165,1933
21027,397,2666
21028,351,5355
21029,220,2847
21030,1455,3093
21031,1982,5680
21032,657,2983
21033,64,427
21034,243,1203
21035,3210,7689
21036,265,1394
21037,1124,2390
21038,223,1239
21039,661,2285
21040,220,2847
21041,551,2285
21042,243,1203
21043,694,1812
21044,527,2477
21045,99,1889
21046,99,1889
21047,441,4696
21048,295,51136
21049,485,2389
21050,160,19350
21051,208,14400
21052,600,46080
21053,1020,212005
21054,150,18816
21055,287,1438
21056,483,2571
21057,1270,1968
21058,1455,3093
21059,287,1438
21060,220,2847
21061,331,1623
21062,1455,3093
21063,353,141
21064,441,6911
21065,220,2847
21066,220,2667
21067,291,1640
21068,1720,3656
21069,421,871
21070,291,1640
21071,17,35035
21072,220,2847
21073,520,1301
21074,353,930
21075,331,762
21076,381,1812
21077,1587,3374
21078,661,4648
21079,1852,10150
21080,220,2847
21081,331,762
21082,1014,3163
21083,33,7161
21084,174,1274
21085,243,1133
21086,650,8673
21087,534,1505
21088,265,742
21089,220,2847
21090,79,20880
21091,150,38400
21092,472,5147
21093,330,63248
21094,160,29920
21095,750,57600
21096,357,65000
21097,450,19360
21098,994,5290
21099,220,2847
21100,419,4416
21101,265,2179
21102,1653,3515
21103,353,949
21104,1543,28010
21105,1014,3163
21106,265,1056
21107,1102,6459
21108,220,2847
21109,265,1056
21110,1058,6151
21111,542,1263
21112,31,243
21113,542,1263
21114,1389,2953
21115,187,974
21116,542,1263
21117,728,7768
21118,267,1333
21119,2910,42961
21120,642,3614
21121,882,2583
21122,661,4795
21123,143,3669
21124,1653,3515
21125,282,1269
21126,459,879
21127,509,1350
21128,220,2847
21129,1261,5741
21130,370,1616
21131,882,976
21132,143,3669
21133,1323,6698
21134,992,2109
21135,705,949
21136,276,305
21137,331,3746
21138,220,2847
21139,375,2900
21140,265,1318
21141,520,1301
21142,243,1133
21143,276,2441
21144,3071,17873
21145,606,3709
21146,220,2847
21147,300,135407
21148,123,1407
21149,30,20736
21150,104,29220
21151,120,22478
21152,42,4000
21153,120,22478
21154,380,43776
21155,284,923
21156,129,28100
21157,2299,330372
21158,645,122496
21159,135,25188
21160,135,25188
21161,220,2847
21162,331,2023
21163,331,4687
21164,617,1845
21165,1786,3796
21166,245,844
21167,1056,9879
21168,4325,12685
21169,772,4687
